Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0001,SUCCESS,8.417222222222222,90,,117765.,0.02462,17.51,May 29 21:40,May 30 06:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0002,SUCCESS,8.273333333333333,90,,121174.,0.02360,31.13,May 29 21:40,May 30 05:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0003,SUCCESS,10.08361111111111,110,,109728.,0.03062,17.51,May 29 21:42,May 30 07:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0004,SUCCESS,10.019444444444446,110,,136205.,0.02341,17.51,May 29 21:41,May 30 07:43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0005,SUCCESS,8.476666666666667,90,,91873.,0.02408,17.51,May 29 21:39,May 30 06:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0006,SUCCESS,10.951388888888888,110,,149815.,0.02186,17.51,May 29 21:41,May 30 08:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0007,SUCCESS,10.195277777777777,110,,136021.,0.02211,17.51,May 29 21:40,May 30 07:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0008,SUCCESS,11.646944444444443,120,,134153.,0.03515,17.51,May 29 21:41,May 30 09:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0009,SUCCESS,7.310277777777777,80,,94113.,0.02353,17.51,May 29 21:38,May 30 04:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0010,SUCCESS,12.5525,130,,135326.,0.03242,17.51,May 29 21:42,May 30 10:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0011,SUCCESS,9.897777777777778,100,,399066.,0.03749,17.51,May 29 21:41,May 30 07:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0012,SUCCESS,10.18388888888889,110,,292259.,0.03605,28.97,May 29 21:41,May 30 07:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0013,SUCCESS,14.078333333333333,150,,283685.,0.02518,26.19,May 29 21:42,May 30 11:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0014,SUCCESS,9.518333333333334,100,,143125.,0.02468,17.51,May 29 21:41,May 30 07:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0015,SUCCESS,9.180555555555555,100,,113019.,0.03244,17.54,May 29 21:40,May 30 06:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0016,SUCCESS,9.21861111111111,100,,114481.,0.03004,18.41,May 29 21:40,May 30 06:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0017,SUCCESS,10.580277777777777,110,,151905.,0.03288,17.51,May 29 21:41,May 30 08:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0018,SUCCESS,8.220555555555556,90,,193282.,0.03836,17.51,May 29 21:40,May 30 05:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0019,SUCCESS,12.377222222222223,130,,472579.,0.04303,17.51,May 29 21:42,May 30 10:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0020,SUCCESS,7.917222222222223,80,,117290.,0.02888,19.04,May 29 21:39,May 30 05:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0021,SUCCESS,11.971111111111112,120,,543896.,0.05205,17.51,May 29 22:21,May 30 10:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0022,SUCCESS,10.805000000000001,110,,238735.,0.03949,17.51,May 29 22:20,May 30 09:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0023,SUCCESS,10.471666666666668,110,,137445.,0.03445,17.51,May 29 22:23,May 30 08:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0024,SUCCESS,9.874722222222223,100,,109561.,0.03025,18.17,May 29 22:21,May 30 08:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
