folder,vol_error_af,vol_error_pct,start_time,end_time,max_wse,max_depth,max_face_velocity,max_velocity,max_volume,max_flow_balance,max_wind_EventCond,max_prcp_EventCond,max_bc_flow_EventCond,max_bc_stage_EventCond,max_IC_elevation,unique_manning,unique_cell_infiltration_initial_deficit,unique_cell_infiltration_maximum_deficit,unique_cell_infiltration_pot_percolation_rate,unique_cell_impervious_pct_imper
SS0083_PP275_SM3_BF1_Base,92917.921875,0.027632636949419975,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,108.43938446044922,163.03057861328125,3.962392373085029,705541312.0,539898.5,59.4240837097168,27.922805786132812,257600.0,6.139999866485596,57.0,643855,646987,746734,1,454483
SS0131_PP096_SM4_BF1_Base,171284.359375,0.03546256944537163,06Jan2050 00:00:00,10Jan2050 12:00:00,491.2488708496094,113.41502380371094,169.94296264648438,2.659194495677962,735499008.0,1032619.25,133.2082977294922,35.154083251953125,68400.0,16.06999969482422,57.0,643591,625186,746124,1,454423
SS0146_PP444_SM2_BF1_Base,338059.71875,0.054725296795368195,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,113.26104736328125,161.70086669921875,2.588172965049748,747686464.0,955864.4375,141.99710083007812,29.268463134765625,154000.0,13.739999771118164,57.0,643617,662782,745823,1,1
SS0080_PP165_SM5_BF1_Base,401218.71875,0.042743321508169174,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,116.885009765625,167.48426818847656,4.050157003402723,1338606976.0,989512.4375,137.2592010498047,56.782928466796875,125200.0,18.450000762939453,57.0,643642,579501,746355,1,454155
SS0068_PP354_SM2_BF1_Base,175941.734375,0.03385583311319351,06Jan2050 00:00:00,12Jan2050 06:00:00,491.2488708496094,110.90531921386719,181.5061492919922,2.6711020088195845,727426432.0,527156.25,93.7209243774414,12.67379379272461,214800.0,9.449999809265137,57.0,643617,662782,745823,1,1
SS0131_PP498_SM4_BF1_Base,206458.09375,0.04279176518321037,06Jan2050 00:00:00,10Jan2050 12:00:00,491.2488708496094,114.09101867675781,153.54632568359375,2.88654565334321,729428544.0,1071493.875,133.2082977294922,11.130200386047363,275600.0,16.420000076293945,57.0,643591,625186,746124,1,454423
SS0087_PP385_SM5_BF1_Base,265176.8125,0.03401297703385353,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,115.254150390625,163.2015838623047,2.5997213125228917,769619392.0,1161073.375,135.93731689453125,21.00096893310547,136400.0,16.3799991607666,57.0,643642,579501,746355,1,454155
SS0061_PP066_SM1_BF1_Base,210109.34375,0.034037038683891296,06Jan2050 00:00:00,13Jan2050 06:00:00,491.2488708496094,111.56153106689453,162.89559936523438,2.7018082547187903,746135424.0,956155.25,87.42471313476562,26.574806213378906,249200.0,10.149999618530273,57.0,643510,683772,745585,1,453683
SS0142_PP192_SM2_BF1_Base,114469.1640625,0.04387873783707619,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,107.19432830810547,160.2841796875,11.519321403504549,669533248.0,234791.59375,53.98861312866211,5.525007724761963,256000.0,4.329999923706055,57.0,643617,662782,745823,1,1
SS0075_PP024_SM5_BF1_Base,212447.484375,0.032563965767621994,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,111.72027587890625,1974.56884765625,2.8762031912804495,755112448.0,1030190.5625,89.3493881225586,24.788206100463867,152800.0,9.350000381469727,57.0,643642,579501,746355,1,454155
SS0024_PP261_SM1_BF1_Base,110255.828125,0.03313504531979561,06Jan2050 00:00:00,13Jan2050 06:00:00,491.2488708496094,107.23506927490234,158.78488159179688,3.618695099353817,683099264.0,243078.21875,39.498260498046875,6.692209243774414,217200.0,4.170000076293945,57.0,643510,683772,745585,1,453683
SS0075_PP458_SM3_BF1_Base,222259.015625,0.03348122909665108,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,110.9013900756836,1935.3778076171875,4.7385358142852905,1340388992.0,1016822.5,89.3493881225586,53.579681396484375,174400.0,9.140000343322754,57.0,643855,646987,746734,1,454483
SS0061_PP364_SM2_BF1_Base,199896.375,0.032318152487277985,06Jan2050 00:00:00,13Jan2050 06:00:00,491.2488708496094,112.00300598144531,175.47837829589844,3.1892813897132877,745066944.0,907663.4375,87.42471313476562,19.4289493560791,404000.0,10.239999771118164,57.0,643617,662782,745823,1,1
SS0075_PP378_SM4_BF1_Base,135501.0,0.02022055722773075,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,111.23995971679688,167.46075439453125,3.2792817425727847,792319872.0,1041754.75,89.3493881225586,65.92532348632812,164800.0,8.970000267028809,57.0,643591,625186,746124,1,454423
SS0061_PP314_SM2_BF1_Base,175019.1875,0.028230441734194756,06Jan2050 00:00:00,13Jan2050 06:00:00,491.2488708496094,112.26124572753906,156.53553771972656,2.99481015443802,743807552.0,918667.125,87.42471313476562,46.67993927001953,80400.0,10.3100004196167,57.0,643617,662782,745823,1,1
SS0083_PP219_SM2_BF1_Base,92726.4296875,0.027234511449933052,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,109.30665588378906,162.80691528320312,4.549425334930424,714436928.0,534796.25,59.4240837097168,32.14381408691406,472000.0,6.119999885559082,57.0,643617,662782,745823,1,1
SS0141_PP048_SM3_BF1_Base,141736.265625,0.038318783044815063,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,110.32681274414062,166.27874755859375,3.7433822154998944,702902400.0,575641.9375,95.65782165527344,13.250495910644531,315600.0,9.789999961853027,57.0,643855,646987,746734,1,454483
SS0068_PP082_SM1_BF1_Base,201203.390625,0.03885236009955406,06Jan2050 00:00:00,12Jan2050 06:00:00,491.2488708496094,110.9273910522461,156.61265563964844,2.4025581979751736,723953856.0,516678.375,93.7209243774414,12.453365325927734,186000.0,9.350000381469727,57.0,643510,683772,745585,1,453683
SS0080_PP119_SM5_BF1_Base,356792.3125,0.03835368528962135,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,116.04329681396484,162.9313507080078,3.3885575342178362,858585152.0,1087964.25,137.2592010498047,35.76374816894531,344000.0,17.610000610351562,57.0,643642,579501,746355,1,454155
SS0075_PP257_SM5_BF1_Base,231061.640625,0.03569793328642845,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,111.18228149414062,156.42611694335938,2.431086881160738,740746048.0,1046880.875,89.3493881225586,24.95943260192871,130800.0,8.970000267028809,57.0,643642,579501,746355,1,454155
SS0131_PP492_SM1_BF1_Base,207925.0625,0.04324425384402275,06Jan2050 00:00:00,10Jan2050 12:00:00,491.2488708496094,113.08745574951172,156.18995666503906,2.362084820270556,728566720.0,1071860.75,133.2082977294922,18.400341033935547,93600.0,16.06999969482422,57.0,643510,683772,745585,1,453683
SS0086_PP285_SM1_BF1_Base,172827.21875,0.03775330260396004,06Jan2050 00:00:00,13Jan2050 06:00:00,491.2488708496094,112.26423645019531,163.13568115234375,2.689874811172488,744074624.0,707060.8125,195.8952178955078,27.004596710205078,149600.0,15.800000190734863,57.0,643510,683772,745585,1,453683
SS0141_PP331_SM1_BF1_Base,141967.078125,0.03808565437793732,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,110.80569458007812,168.37144470214844,3.414550635814667,702019840.0,609855.375,95.65782165527344,9.608407020568848,219200.0,10.15999984741211,57.0,643510,683772,745585,1,453683
SS0075_PP449_SM3_BF1_Base,191496.921875,0.029160697013139725,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,111.63201141357422,843.5872192382812,4.329723887443551,871301376.0,1013507.125,89.3493881225586,49.93797302246094,126000.0,8.970000267028809,57.0,643855,646987,746734,1,454483
SS0075_PP167_SM4_BF1_Base,224193.546875,0.03470158576965332,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,111.0403060913086,163.1755828857422,3.1491531276703135,741242688.0,1054519.375,89.3493881225586,13.592442512512207,279600.0,8.970000267028809,57.0,643591,625186,746124,1,454423
SS0083_PP086_SM4_BF1_Base,96429.078125,0.02885587513446808,06Jan2050 00:00:00,12Jan2050 00:00:00,491.2488708496094,107.71195220947266,156.4032440185547,3.272718203067782,695361920.0,537737.9375,59.4240837097168,8.188604354858398,150000.0,6.079999923706055,57.0,643591,625186,746124,1,454423
SS0075_PP356_SM2_BF1_Base,194131.03125,0.02952050231397152,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,111.39169311523438,166.63168334960938,3.185059263706209,896528576.0,1024348.4375,89.3493881225586,38.59061813354492,229200.0,9.15999984741211,57.0,643617,662782,745823,1,1
SS0139_PP431_SM1_BF1_Base,337271.4375,0.03331199288368225,06Jan2050 00:00:00,15Jan2050 00:00:00,491.2488708496094,112.092041015625,161.51751708984375,4.397253131866466,788466688.0,861314.75,105.80716705322266,11.074390411376953,544000.0,10.300000190734863,57.0,643510,683772,745585,1,453683
SS0125_PP227_SM1_BF1_Base,129164.265625,0.02857387438416481,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,109.02948760986328,155.80906677246094,3.8156758546829685,707612800.0,448047.15625,71.92437744140625,8.542956352233887,226800.0,7.71999979019165,57.0,643510,683772,745585,1,453683
SS0075_PP055_SM4_BF1_Base,208073.390625,0.032165396958589554,06Jan2050 00:00:00,13Jan2050 12:00:00,491.2488708496094,110.86204528808594,163.3865966796875,2.400760116577184,746185088.0,1044367.5625,89.3493881225586,17.137731552124023,111600.0,9.390000343322754,57.0,643591,625186,746124,1,454423
