Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0019_PP443_SM5_BF1_Base,SUCCESS,12.541666666666666,130,,512095.,0.04616,17.51,Jun 04 04:14,Jun 04 16:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0021_PP487_SM5_BF1_Base,SUCCESS,10.98861111111111,110,,611648.,0.05798,18.00,Jun 04 03:45,Jun 04 14:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0024_PP261_SM1_BF1_Base,SUCCESS,10.497777777777777,110,,110256.,0.03038,17.51,Jun 04 03:45,Jun 04 14:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0040_PP166_SM1_BF1_Base,SUCCESS,8.525555555555556,90,,94528.,0.03409,17.51,Jun 04 03:51,Jun 04 12:23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0059_PP406_SM3_BF1_Base,SUCCESS,10.223333333333333,110,,206967.,0.03022,17.51,Jun 04 07:17,Jun 04 17:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP066_SM1_BF1_Base,SUCCESS,10.246666666666666,110,,210109.,0.03245,17.51,Jun 04 03:45,Jun 04 13:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP106_SM1_BF1_Base,SUCCESS,9.605277777777777,100,,207967.,0.03212,17.51,Jun 04 06:12,Jun 04 15:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP115_SM1_BF1_Base,SUCCESS,10.071666666666667,110,,202661.,0.03109,22.63,Jun 04 03:57,Jun 04 14:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP159_SM2_BF1_Base,SUCCESS,9.907777777777778,100,,201576.,0.03121,17.51,Jun 04 05:09,Jun 04 15:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP175_SM2_BF1_Base,SUCCESS,9.843611111111112,100,,198526.,0.03078,18.75,Jun 04 07:45,Jun 04 17:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP208_SM1_BF1_Base,SUCCESS,10.235833333333332,110,,223569.,0.03456,17.51,Jun 04 03:54,Jun 04 14:08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP255_SM1_BF1_Base,SUCCESS,11.106388888888889,120,,209694.,0.03230,17.51,Jun 04 07:09,Jun 04 18:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP263_SM1_BF1_Base,SUCCESS,11.003055555555555,120,,204329.,0.03155,17.70,Jun 04 03:42,Jun 04 14:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP314_SM2_BF1_Base,SUCCESS,10.154444444444445,110,,175019.,0.02692,17.51,Jun 04 04:00,Jun 04 14:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP327_SM1_BF1_Base,SUCCESS,9.854166666666666,100,,205427.,0.03170,17.51,Jun 04 05:34,Jun 04 15:25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP334_SM2_BF1_Base,SUCCESS,9.351111111111111,100,,182155.,0.02778,17.51,Jun 04 03:42,Jun 04 13:03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP364_SM2_BF1_Base,SUCCESS,9.188611111111111,100,,199896.,0.03081,17.51,Jun 04 04:08,Jun 04 13:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP383_SM2_BF1_Base,SUCCESS,10.231944444444444,110,,201619.,0.03117,17.51,Jun 04 10:15,Jun 04 20:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP423_SM1_BF1_Base,SUCCESS,11.894166666666667,120,,206131.,0.03194,17.59,Jun 04 04:22,Jun 04 16:16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0061_PP433_SM4_BF1_Base,SUCCESS,10.099444444444446,110,,216106.,0.03322,17.51,Jun 04 07:17,Jun 04 17:23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0066_PP492_SM5_BF1_Base,SUCCESS,9.807500000000001,100,,754667.,0.06354,18.49,Jun 04 04:42,Jun 04 14:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0068_PP082_SM1_BF1_Base,SUCCESS,9.285,100,,201203.,0.03671,19.10,Jun 04 04:37,Jun 04 13:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
